film.title	year	imdb	format	languages	NTSC/PAL	duration	source	info	N.	NEW
Deli fisek (Shotgun)	1984	tt0182966	DVD5	TUR/ENGsub	PAL	1h17m15s	VHS	new VHS2DVD transfer	0	false
Delirio caldo	1972	tt0068471	DVD9	ITA/ENG	NTSC	1h41m44s+1h25m48s	DVD	full DVD	93	false
Delirio caldo (Au-dela du desir)	1972	tt0068471	DVD5	FRE	PAL	1h33m33s	VHS	alternate French cut	229	false
Delirio di sangue	1988	tt0094762	DVD5	ITA/ENG	PAL	1h27m37s	VHS	none	95	false
Delirium	1968	tt0062032	DVD5	ITA	PAL	---	TV	Italian version by Bruno Mattei	47	false
Delitti	1987	tt0092864	DVD5	ITA	PAL	1h36m29s	VHS	proper VHS2DVD	176	false
Delitti a luce rossa	1996	tt0116068	DVD5	ITA	PAL	---	VHS	written by Renato Polselli	97	false
Delitti, amore e gelosia	1982	tt0197400	DVD5	ITA	PAL	1h34m59s	VHS	none	243	false
Delitto d'autore	1974	tt0071405	DVD5	ITA/ENGsub	PAL	1h13m13s	VHS	none	227	false
Delitto sulla strada	1979	tt0240906	DVD5	ITA	PAL	---	VHS	none	98	false
Demir pençe - korsan adam (Turkish Iron Claw the Pirate)	1969	tt0335037	DVD5	TUR/ENGsub/GREsub	PAL	---	DVD	none	122	false
Demir Yumruk: Devler geliyor (Iron Fist: The Giants Are Coming)	1970	tt0310995	DVD9	TUR/ENGsub/GREsub	PAL	---	DVD	none	96	false
Devil Woman	1970	tt0072868	DVD5	ENG	NTSC	1h35m31s	VHS	[ASIA] none	0	false
Diamanti sporchi di sangue	1977	tt0075940	DVD5	ITA/ENG	PAL	1h38m08s	DVD	full Cinekult DVD	606	false
Dieci bianchi uccisi da un piccolo indiano	1974	tt0073519	DVD5	ITA	PAL	1h21m23s	VHS	none	621	false
Difesa Alekhine – Scacco con la morte	1989	NOimdb	DVD5	ITA	PAL	1h28m33s	VHS	none	141	false
Dimensione violenza	1983	tt0168660	DVD5	ITA	PAL	1h41m19s	Telecine	none	684	false
Dinasty – L’urlo della tigre dei Ming	1977	tt0165742	DVD5	ITA	PAL	1h25m37s	VHS	[ASIA]	374	false
Dinni e la Normalina, ovvero la videopolizia psichiatrica...	1978	tt1161005	DVD5	ITA	PAL	---	TV	MPEG2 file	0	false
Dio perdoni la mia pistola	1969	tt0126263	DVD5	ITA	PAL	1h29m47s	TV	none	375	false
Dio, sei proprio un padreterno! aka Il suo nome faceva tremare... Interpol in allarme!	1972	tt0069979	DVD5	ITA	PAL	1h35m48s	DTT	none	0	false
Dipingi di giallo il tuo poliziotto	1970	tt0205871	DVD5	ITA	PAL	1h12m23s	Telecine	none	0	false
Dirai: ho ucciso per legittima difesa	1971	tt0067615	DVD5	ITA	PAL	1h26m16s	DTT	none	0	false
Dirty Duck	1974	tt0072882	DVD5	ENG	NTSC	1h10m00s	DVD	full DVD + extras	666	false
Disco delirio	1979	tt0077439	DVD5	ITA	PAL	1h29m34s	TV	none	151	false
Dixie Dynamite e Patsy Tritolo	1976	tt0074415	DVD5	ITA	PAL	1h24m50s	VHS	none	663	false
Django 2 - Il grande ritorno	1987	tt0093113	DVD9	ITA/GER	PAL	1h36m15s	DVD	full uncut DVD + extras	426	false
Doctor Satán	1966	tt0178391	DVD5	ESP/ENGsub	NTSC	---	VHS	none	203	false
Doctor Satán y la magia negra	1968	tt0126877	DVD5	ESP/ENGsub	NTSC	1h34m03s	VHS	uncut	204	false
Domani passo a salutare la tua vedova... parola di Epidemia	1972	tt0072327	DVD5	ITA/ENG	PAL	1h26m31s	DVD	none	513	false
Donne e magia con satanasso in compagnia	1973	tt0069997	DVD5	ITA	PAL	1h29m46s	TV	none	3	false
Double Down	2005	tt1561457	DVD5	ENG	NTSC	1h33m27s	DVD	none	715	false
Dove non è peccato	1970	tt0169795	DVD5	ITA	PAL	1h38m43s	Telecine	none	693	false
Dr. Strange	1978	tt0077469	DVD5	ENG/ENGsub	NTSC	1h33m49s	DVD	full DVD	563	false
Dragon Ball: Fight Son Goku, Win Son Goku (aka Korean Dragon Ball)	1990	tt1608208	DVD5	KOR/ENGsub	NTSC	1h45m38s	DVD	none	685	false
Dragon Ball: Ssawora Son Goku, Igyeora Son Goku (Korean Dragon Ball)	1990	tt1608208	DVD5	KOR	PAL	1h45m38s	VHS	[ASIA]	126	false
Dragon Ball: The magic begins	1991	tt0122050	DVD5	ITA/ENG/ITAsub	PAL	1h25m38s	DVD	full DVD	215	false
Dreamland: La terra dei sogni	2011	tt1832334	DVD5	ITA	PAL	1h33m45s	DVD	full DVD; NOT FOR TRADE!	292	false
Droids: The Pirates and the Prince	1997	tt0940894	DVD5	ENG/ENGsub	NTSC	1h24m40s	DVD	feature film from series episodes	529	false
Droids: Treasure of the Hidden Planet	1997	tt0952689	DVD5	ENG/ENGsub	NTSC	1h28m11s	DVD	feature film from series episodes	530	false
Dropout	1970	tt0169806	DVD5	ITA	PAL	1h47m54s	Telecine	none	686	false
Due Magnum .38 per una città di carogne	1975	tt0169810	DVD5	ITA	PAL	1h27m29s	TV	none	0	false
Due occhi per uccidere	1968	tt0169819	DVD5	ITA	PAL	---	Telecine	one missing reel	32	false
Due vite violente (Insan avcisi)	1979	tt0184615	DVD5	ITA	PAL	1h19m00s	VHS	none	160	false
Due volte Giuda	1968	tt0062915	DVD5	ITA/ITA 5.1	PAL	1h32m27s	DVD	full DVD + extras	635	false
Dünyayi Kurtaran Adam (Turkish Star Wars)	1982	tt0182060	DVD5	TUR/ENGsub	PAL	1h30m41s	VHS	none	29	false
Dünyayi Kurtaran Adam (Turkish Star Wars)	1982	tt0182060	DVD5	TUR/ENGsub	PAL	1h32m38s	VHS	uncut; new VHS2DVD transfer	253	false
Dyane	1984	tt0205030	DVD5	ITA	PAL	1h47m25s	VHS	20mins ca. blank tape	294	false
E Dio disse a Caino...	1970	tt0064273	DVD9	ITA/GER	PAL	1h36m01s	DVD	full DVD + extras	511	false
E no nôn	198?	NOimdb	DVD5	ITA	PAL	---	Super8	none	55	false
E non liberarci dal male	1971	tt0066040	DVD5	FRE/ENGsub	PAL	1h42m02s	DVD	full DVD + extras	0	false
E se per caso una mattina...	1972	tt0207942	DVD5	ITA	PAL	2h33m03s	Telecine	30min ca. blank tape	386	false
Eat it - Mangiala	1968	tt0063269	DVD5	ITA	PAL	1h24m47s	Master	uncut	283	false
Ecce Homo – I Sopravvissuti	1968	tt0062923	DVD5	ITA/ENGsub	PAL	1h25m00s	Telecine	none	304	false
Ehi Satana! Prendi la pistola e spara, ritorna Trinidad	1970	tt0242913	DVD5	ITA/ESP	PAL	1h20m19s	DVD	custom mux	547	false
El barón del terror (The Brainiac)	1962	tt0054668	DVD5	ESP/ENGsub	NTSC	1h16m53s	DVD	full DVD + extras	0	false
El Charro de las Calaveras (The Rider of the Skulls)	1965	tt0281713	DVD5	ESP/ENGsub	NTSC	---	DVD	corrected A/R	205	false
El increible profesor Zovek	1972	tt0264708	DVD5	ESP	NTSC	1h15m24s	DVD	full DVD	573	false
El látigo	1978	tt0284281	DVD5	ESP/ENGsub	NTSC	---	VHS	none	199	false
El látigo contra las momias asesinas	1980	tt0341439	DVD5	ESP/ENGsub	PAL	1h20m11s	VHS	none	201	false
El látigo contra Satanás	1979	tt0284280	DVD5	ESP/ENGsub	PAL	1h20m38s	VHS	none	200	false
El monje loco	1984	tt0359708	DVD5	ESP/ENGsub	NTSC	1h16m30s	VHS	none	0	false
El tesoro de Moctezuma	1968	tt0208505	DVD5	ESP	NTSC	1h17m45s	DVD	full DVD + extras	678	false
En büyük yumruk (The biggest punch)	1983	tt0416717	DVD5	TUR/ENGsub	PAL	1h16m56s	VHS	new VHS2DVD transfer	257	false
Equinozio	1971	tt0171272	DVD5	ITA/FREsub	PAL	1h31m24s	Telecine	none	94	false
Ercole, Sansone, Maciste e Ursus gli invincibili	1964	tt0059672	DVD9	ITA/FRE	PAL	1h33m59s	DVD	full DVD + extras	0	false
